property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price,floor_number
2 BHK Apartment for Sale in Varachha Surat,Super Area,1300.0,Resale,Ready to Move,4 out of 4,Furnished,Unknown,3462.0,45.0,4.0
4 BHK Penthouse for Sale in Mandvi Surat,Carpet Area,1300.0,Resale,Ready to Move,Ground out of 2,Furnished,6,4691.5,45.0,2.0
  Shop for Sale in Surat City Surat,Super Area,100.0,Resale,Ready to Move,Lower Basement out of 2,Unknown,Unknown,20000.0,20.0,2.0
  Shop for Sale in Dindoli Surat,Carpet Area,150.0,Resale,Ready to Move,Ground out of 1,Unknown,Unknown,9000.0,13.5,1.0
  Shop for Sale in Pipodara Surat,Carpet Area,430.0,Resale,Ready to Move,Ground out of 4,Unknown,Unknown,10465.0,45.0,4.0
4 BHK Apartment for Sale in Bhatar Surat,Super Area,1370.0,Resale,Ready to Move,3 out of 4,Unfurnished,Unknown,3212.0,44.0,3.0
  Plot/Land for Sale in Bhestan Surat,Plot Area,1040.0,Unknown,Resale,Unknown,Unknown,Unknown,4712.0,49.0,5.0
  Shop for Sale in Surat,Carpet Area,145.0,Resale,Ready to Move,Ground out of 5,Unknown,Unknown,7500.0,21.0,5.0
1 BHK  House for Sale in Olpad Surat,Carpet Area,527.0,Unfurnished,Ready to Move,Resale,West,Garden/Park,3035.0,20.0,5.0
2 BHK Apartment for Sale in Nana Varachha Surat,Super Area,1193.0,Resale,Ready to Move,4 out of 10,Semi-Furnished,East,3269.0,39.0,4.0
2 BHK Apartment for Sale in Lambe Hanuman Road Surat,Carpet Area,1000.0,Resale,Ready to Move,3 out of 5,Furnished,Co-operative Society,3077.0,40.0,3.0
2 BHK  House for Sale in Olpad Sayan Road Surat,Super Area,1000.0,Resale,Ready to Move,Ground out of 1,Unfurnished,Unknown,1600.0,16.0,1.0
3 BHK  House for Sale in Kamrej Surat,Super Area,1100.0,Resale,Ready to Move,Ground out of 2,Unfurnished,3,2455.0,27.0,2.0
  Shop for Sale in Adajan Surat,Carpet Area,222.0,Resale,Ready to Move,Ground out of 14,Unknown,Unknown,10162.0,44.0,14.0
1 BHK Builder Floor for Sale in Olpad Surat,Super Area,756.0,Resale,Ready to Move,5 out of 5,Unfurnished,Unknown,1984.0,15.0,5.0
2 BHK Penthouse for Sale in L P Savani Surat,Carpet Area,1446.0,Resale,Ready to Move,4 out of 4,Semi-Furnished,North - East,4006.0,39.9,4.0
2 BHK Apartment for Sale in Honey Park Surat,Carpet Area,950.0,Resale,Ready to Move,2 out of 4,Semi-Furnished,North - East,3043.0,35.0,2.0
  Shop for Sale in VIP Road Surat,Carpet Area,180.0,Resale,Ready to Move,Ground out of 6,26 Covered,Unknown,12500.0,45.0,6.0
2 BHK Apartment for Sale in 503RIDDHI SIDDHI RESIDENCY Surat,Carpet Area,750.0,Resale,Ready to Move,5 out of 6,Semi-Furnished,East,3333.0,35.0,5.0
2 BHK Apartment for Sale in vatika township Surat,Super Area,1025.0,Resale,Ready to Move,5 out of 6,Furnished,Unknown,4683.0,48.0,5.0
2 BHK Apartment for Sale in Rander Road Surat,Super Area,1100.0,Resale,Ready to Move,3 out of 5,Unfurnished,East,3455.0,38.0,3.0
  Shop for Sale in Kadodara Surat,Super Area,150.0,Resale,Ready to Move,1 out of 4,Unknown,Unknown,5000.0,7.5,1.0
2 BHK Apartment for Sale in Kailash Nagar Surat,Carpet Area,1200.0,Resale,Ready to Move,8 out of 9,Unfurnished,Unknown,4691.5,30.0,8.0
2 BHK Builder Floor for Sale in devdhgam Surat,Carpet Area,734.0,Resale,Ready to Move,2 out of 5,Furnished,East,2749.0,28.5,2.0
1 BHK Apartment for Sale in pavitra residency Surat,Carpet Area,440.0,Resale,Ready to Move,4 out of 5,Semi-Furnished,Unknown,3420.0,25.0,4.0
"2 BHK Apartment for Sale in Mangal pushp apartment,  L P SAVANI CIRCLE adajan Surat",Super Area,750.0,Resale,Ready to Move,2 out of 7,Semi-Furnished,Unknown,3200.0,24.0,2.0
1 BHK Apartment for Sale in Udhna Surat,Super Area,550.0,Resale,Ready to Move,4 out of 4,Semi-Furnished,North - East,2318.0,12.8,4.0
  Office Space for Sale in Hirabag Surat,Carpet Area,110.0,Resale,Ready to Move,1 out of 1,Unknown,Unknown,7315.0,9.5,1.0
2 BHK Apartment for Sale in vraj vihar complex koli street adajan gam Surat,Carpet Area,800.0,Resale,Ready to Move,1 out of 4,Semi-Furnished,East,2500.0,25.0,1.0
1 BHK Apartment for Sale in Adajan Surat,Super Area,722.0,Resale,Ready to Move,7 out of 7,Unfurnished,Unknown,2909.0,21.0,7.0
2 BHK  House for Sale in Velanja Surat,Carpet Area,720.0,New Property,Ready to Move,1 out of 1,Unfurnished,"Garden/Park, Main Road",4375.0,31.5,1.0
2 BHK Builder Floor for Sale in Jahangirabad Surat,Super Area,1100.0,Resale,Ready to Move,2 out of 5,Semi-Furnished,Unknown,3545.0,39.0,2.0
2 BHK  House for Sale in Dindoli Surat,Super Area,800.0,Resale,Ready to Move,Ground out of 1,Unfurnished,Unknown,5750.0,46.0,1.0
1 BHK Builder Floor for Sale in Kim Surat,Super Area,750.0,Resale,Ready to Move,4 out of 4,Semi-Furnished,Unknown,800.0,6.0,4.0
2 BHK Builder Floor for Sale in Palanpur Surat,Super Area,1035.0,Resale,Ready to Move,2 out of 5,Furnished,Unknown,4251.0,44.0,2.0
2 BHK Apartment for Sale in Rustampura Surat,Carpet Area,945.0,Resale,Ready to Move,4 out of 4,Unfurnished,South,2787.0,34.0,4.0
1 BHK Villa for Sale in Sayan Surat,Super Area,600.0,Unfurnished,Ready to Move,Resale,Unknown,Unknown,2667.0,16.0,5.0
2 BHK  House for Sale in Kadodara Surat,Carpet Area,1080.0,Resale,Ready to Move,1 out of 1,Unfurnished,Main Road,4691.5,39.0,1.0
3 BHK  House for Sale in Navagam Surat,Carpet Area,1200.0,Resale,Ready to Move,Ground out of 3,Unfurnished,West,2160.0,27.0,3.0
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,1200.0,Resale,Ready to Move,3 out of 5,Unfurnished,East,2917.0,35.0,3.0
 Industrial Land for Sale in Surat City Surat,Built Area,1318.0,Unknown,Resale,Unknown,Unknown,Unknown,1669.0,22.0,5.0
1 BHK Apartment for Sale in Amroli Surat,Super Area,660.0,Resale,Ready to Move,5 out of 5,Unfurnished,Main Road,3030.0,20.0,5.0
2 BHK Apartment for Sale in Amroli Surat,Carpet Area,580.0,Resale,Ready to Move,1 out of 5,Furnished,East,2436.0,19.0,1.0
2 BHK Apartment for Sale in Pavitra residency Surat,Super Area,1165.0,Unknown,Ready to Move,Resale,Unknown,Unknown,2704.0,31.5,5.0
1 BHK Builder Floor for Sale in Bhestan Surat,Super Area,850.0,Resale,Ready to Move,1 out of 4,Unfurnished,Unknown,1000.0,8.5,1.0
2 BHK Builder Floor for Sale in Pasodara Surat,Super Area,861.0,Resale,Ready to Move,4 out of 4,Unfurnished,East,1220.0,10.5,4.0
1 BHK  House for Sale in Velanja Surat,Super Area,440.0,Resale,Ready to Move,Ground out of 1,Unfurnished,Unknown,2500.0,11.0,1.0
 Industrial Land for Sale in Palsana Surat,Built Area,1978.0,Unknown,New Property,Unknown,Unknown,Unknown,1618.0,32.0,5.0
2 BHK  House for Sale in Bardoli Surat,Super Area,1000.0,Unknown,Resale,Unknown,Unknown,Unknown,4500.0,45.0,5.0
1 BHK Builder Floor for Sale in Amroli Surat,Super Area,775.0,Resale,Ready to Move,2 out of 5,Semi-Furnished,Unknown,2129.0,16.5,2.0
3 BHK Apartment for Sale in Gopi Pura Surat,Super Area,1050.0,Resale,Ready to Move,3 out of 10,Unfurnished,Unknown,2857.0,30.0,3.0
2 BHK Apartment for Sale in Katar Gam Surat,Super Area,925.0,Resale,Ready to Move,3 out of 4,Unfurnished,Unknown,2378.0,22.0,3.0
1 BHK Apartment for Sale in Vesu Surat,Carpet Area,500.0,Unfurnished,Ready to Move,4 out of 8,Unknown,Unknown,4691.5,16.0,4.0
  Plot/Land for Sale in Palan Pur Patiya Surat,Plot Area,945.0,Unknown,Co-operative Society,New Property,Unknown,Unknown,4233.0,40.0,5.0
  Shop for Sale in Varacha Surat,Super Area,261.0,Resale,Ready to Move,3 out of 4,Unknown,Unknown,6513.0,17.0,3.0
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,1170.0,New Property,Ready to Move,4 out of 4,Unfurnished,South -West,3248.0,38.0,4.0
2 BHK Builder Floor for Sale in Jahangir Pura Surat,Carpet Area,1075.0,Resale,Ready to Move,1 out of 5,Semi-Furnished,"Garden/Park, Main Road",4691.5,31.5,1.0
1 BHK Apartment for Sale in Pandesara Surat,Super Area,650.0,Unknown,Ready to Move,Resale,Unknown,Unknown,2154.0,14.0,5.0
2 BHK  House for Sale in ashok vatika Surat,Carpet Area,490.0,Unfurnished,Ready to Move,Resale,Main Road,Freehold,3600.0,18.0,5.0
3 BHK  House for Sale in Bhatpore Surat,Carpet Area,797.0,Semi-Furnished,Ready to Move,Resale,3,Unknown,4691.5,50.0,5.0
  Office Space for Sale in Amroli Surat,Super Area,456.0,Resale,Ready to Move,3 out of 4,Unknown,Unknown,3947.0,18.0,3.0
1 BHK Apartment for Sale in Marwadi and Gujarati Surat,Carpet Area,750.0,Resale,Ready to Move,2 out of 4,Unfurnished,Unknown,4691.5,20.0,2.0
  Office Space for Sale in Nanpura Surat,Super Area,525.0,Unknown,Ready to Move,Resale,Unknown,Unknown,6667.0,35.0,5.0
3 BHK  House for Sale in Palsana Surat,Super Area,2000.0,Resale,Ready to Move,1 out of 1,Unfurnished,3,1675.0,33.5,1.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1120.0,Resale,Ready to Move,5 out of 13,Furnished,Unknown,4018.0,45.0,5.0
 Industrial Shed for Sale in Bhestan Surat,Super Area,1280.0,Unknown,Ready to Move,Resale,Unknown,Unknown,3906.0,50.0,5.0
  Plot/Land for Sale in Narthan Surat,Plot Area,1188.0,"Main Road, Garden/Park",Freehold,Resale,Unknown,Unknown,2778.0,33.0,5.0
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,970.0,Resale,Ready to Move,3 out of 4,Semi-Furnished,Unknown,3093.0,30.0,3.0
1 BHK Apartment for Sale in Minaxi Wadi Surat,Super Area,750.0,Resale,Ready to Move,Ground out of 3,Semi-Furnished,Unknown,2933.0,22.0,3.0
  Shop for Sale in VIP Road Surat,Super Area,380.0,Resale,Ready to Move,1 out of 5,Unknown,Unknown,6579.0,25.0,1.0
2 BHK  House for Sale in Kamrej Surat,Super Area,90.0,Semi-Furnished,Ready to Move,Resale,Unknown,Unknown,5556.0,45.0,5.0
2 BHK Apartment for Sale in Godadara Surat,Carpet Area,650.0,New Property,Ready to Move,8 out of 14,Unfurnished,Unknown,3051.0,36.0,8.0
1 BHK Apartment for Sale in Surat,Super Area,750.0,Resale,Ready to Move,6 out of 7,Unfurnished,Garden/Park,2735.0,20.5,6.0
2 BHK Builder Floor for Sale in Rander Road Surat,Super Area,950.0,Resale,Ready to Move,1 out of 5,Semi-Furnished,Unknown,2947.0,28.0,1.0
"2 BHK Apartment for Sale in Kosad, Surat Surat",Super Area,1065.0,Resale,Ready to Move,2 out of 6,Unfurnished,Unknown,2347.0,25.0,2.0
  Shop for Sale in Singanpor Surat,Carpet Area,130.0,Resale,Ready to Move,Ground out of 3,Unknown,Unknown,26923.0,35.0,3.0
2 BHK Builder Floor for Sale in Jolva Surat,Super Area,648.0,Resale,Ready to Move,Ground out of 1,Unfurnished,1 Covered,3086.0,20.0,1.0
2 BHK  House for Sale in Kim Surat,Super Area,480.0,Resale,Ready to Move,1 out of 2,Unfurnished,Unknown,2812.0,13.5,1.0
1 BHK Apartment for Sale in Surat City Surat,Carpet Area,410.0,Resale,Ready to Move,3 out of 4,Furnished,Unknown,2857.0,20.0,3.0
