property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price,floor_number
3 BHK Apartment for Sale in Pal Surat,Carpet Area,1000.0,New Property,Poss. by May '25,6 out of 14,Unfurnished,East,4579.0,87.0,6.0
3 BHK Villa for Sale in Godadara Surat,Carpet Area,1827.0,Unfurnished,Poss. by May '25,New Property,East,"Garden/Park, Main Road",4691.5,88.5,5.0
"3 BHK Apartment for Sale in Sangini Epitome, Bhatha Surat",Super Area,2065.0,New Property,Poss. by Apr '25,6 out of 13,Unfurnished,East,4751.0,98.1,6.0
  Office Space for Sale in Vesu Surat,Carpet Area,957.0,New Property,Ready to Move,15 out of 21,"2 Covered,",Unknown,3998.0,76.6,15.0
3 BHK Apartment for Sale in Pal Surat,Carpet Area,1100.0,New Property,Poss. by Feb '25,4 out of 14,Unfurnished,East,4551.0,87.4,4.0
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,948.0,New Property,Poss. by May '25,7 out of 14,Unfurnished,East,4290.0,74.0,7.0
"3 BHK Apartment for Sale in Sangini Epitome, Bhatha Surat",Super Area,2063.0,New Property,Poss. by Dec '26,3 out of 13,Unfurnished,East,4750.0,98.0,3.0
"2 BHK Apartment for Sale in Veer Swastik Hills, Pal Surat",Super Area,1325.0,New Property,Poss. by Feb '25,5 out of 13,Unfurnished,South -West,4600.0,61.0,5.0
"3 BHK Apartment for Sale in Shubham Pearl, Palanpur Surat",Carpet Area,1100.0,Resale,Poss. by Dec '24,9 out of 13,Unfurnished,South -West,3831.0,68.0,9.0
4 BHK Villa for Sale in Dindoli Surat,Carpet Area,2200.0,Unfurnished,Poss. by Jul '24,New Property,North - East,"Garden/Park, Main Road",4691.5,71.5,5.0
3 BHK Apartment for Sale in Adajan Surat,Super Area,1820.0,Resale,Ready to Move,1 out of 1,Furnished,East,3846.0,70.0,1.0
3 BHK Apartment for Sale in Bhimrad Surat,Super Area,1859.0,New Property,Ready to Move,12 out of 14,Unfurnished,East,4554.0,84.7,12.0
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,860.0,Unfurnished,Ready to Move,New Property,East,Main Road,4200.0,60.2,5.0
3 BHK Apartment for Sale in Althan Surat,Super Area,1616.0,New Property,Ready to Move,5 out of 14,Unfurnished,South -West,4000.0,64.6,5.0
"3 BHK Apartment for Sale in Nakshatra Nebula, Jahangirabad Surat",Super Area,1738.0,Resale,Ready to Move,13 out of 13,Furnished,North - East,3510.0,61.0,13.0
"3 BHK Apartment for Sale in Avadh Copperstone, Dumas Road Surat",Super Area,1890.0,Resale,Ready to Move,8 out of 12,Unfurnished,South -West,4762.0,90.0,8.0
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1889.0,New Property,Ready to Move,6 out of 13,Unfurnished,South -West,4251.0,80.3,6.0
  Plot/Land for Sale in Jahangirabad Surat,Plot Area,981.0,New Property,45.5 X 21.56,Freehold,Unknown,Unknown,9684.0,95.0,5.0
"3 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,2111.0,New Property,Poss. by Nov '25,5 out of 12,Unfurnished,South -West,4250.0,89.7,5.0
2 BHK Apartment for Sale in Althan Surat,Super Area,1275.0,New Property,Poss. by Aug '25,5 out of 13,Unfurnished,East,4051.0,51.7,5.0
3 BHK Apartment for Sale in Vesu Surat,Carpet Area,1057.0,Resale,Ready to Move,7 out of 10,Semi-Furnished,East,4062.0,66.0,7.0
"3 BHK Apartment for Sale in MEGAROYAL COMPLEX, Adajan Surat",Super Area,1755.0,Resale,Ready to Move,8 out of 14,Unfurnished,East,4558.0,80.0,8.0
2 BHK Apartment for Sale in Godadara Surat,Super Area,1445.0,Resale,Ready to Move,14 out of 14,Unfurnished,East,3599.0,52.0,14.0
3 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1652.0,New Property,Ready to Move,6 out of 13,Unfurnished,East,3329.0,55.0,6.0
3 BHK Apartment for Sale in Adajan Surat,Super Area,1726.0,Resale,Ready to Move,6 out of 15,Unfurnished,East,3900.0,67.3,6.0
"3 BHK Apartment for Sale in Shreehans Kalyan Residency, Palanpur Gam Surat",Super Area,1960.0,Resale,Ready to Move,5 out of 14,Unfurnished,South -West,3900.0,76.4,5.0
  Plot/Land for Sale in Palanpur Surat,Plot Area,810.0,Resale,60 X 120,Freehold,3,Unknown,9012.0,73.0,5.0
"3 BHK Apartment for Sale in Orchid Elite, Palanpur Gam Surat",Carpet Area,1000.0,Resale,Ready to Move,7 out of 13,Semi-Furnished,North - West,4800.0,85.0,7.0
"2 BHK Apartment for Sale in Soham Elegance, Pal Surat",Super Area,1322.0,New Property,Poss. by Sep '24,7 out of 13,Unfurnished,East,4160.0,55.0,7.0
"  Office Space for Sale in Stalwart Insignia, Vesu Surat",Carpet Area,630.0,New Property,Poss. by Nov '24,10 out of 11,1 Covered,Unknown,6790.0,77.8,10.0
3 BHK Apartment for Sale in Subh Encklave Surat,Super Area,1919.0,Resale,Ready to Move,7 out of 12,Unfurnished,East,4690.0,90.0,7.0
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,751.0,Resale,Ready to Move,5 out of 13,Furnished,East,4372.0,55.0,5.0
 Industrial Land for Sale in Sachin GIDC Surat,Built Area,2331.0,Unknown,Resale,Unknown,Unknown,Unknown,2488.0,58.0,5.0
  Plot/Land for Sale in Jahangir Pura Surat,Plot Area,100.0,2,Power Of Attorney,Resale,10 m,"Garden/Park, Main Road",80000.0,80.0,5.0
3 BHK Apartment for Sale in Pal Surat,Super Area,1745.0,New Property,Poss. by Jul '24,4 out of 13,Unfurnished,East,4401.0,76.8,4.0
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1960.0,Resale,Ready to Move,6 out of 13,Furnished,South -West,3827.0,75.0,6.0
3 BHK Apartment for Sale in Adajan Surat,Carpet Area,1175.0,Resale,Ready to Move,1 out of 5,Furnished,East,4701.0,86.5,1.0
3 BHK Villa for Sale in Adajan Surat,Super Area,216.0,Furnished,Ready to Move,Resale,East,"Garden/Park, Main Road",4372.0,85.0,5.0
  Plot/Land for Sale in Jahangir Pura Surat,Plot Area,828.0,5,Freehold,Resale,Unknown,20 m,6643.0,55.0,5.0
2 BHK Apartment for Sale in Tha Grand Ultima Surat,Carpet Area,720.0,New Property,Ready to Move,11 out of 13,Unfurnished,North - East,4798.0,62.8,11.0
"3 BHK Apartment for Sale in Shaligram Flats, Vesu Surat",Super Area,1774.0,New Property,Ready to Move,3 out of 5,Unfurnished,East,4735.0,84.0,3.0
3 BHK Apartment for Sale in Adajan Surat,Super Area,1770.0,Resale,Ready to Move,5 out of 12,Furnished,East,4802.0,85.0,5.0
2 BHK Apartment for Sale in Parley Point Surat,Carpet Area,980.0,Resale,Ready to Move,6 out of 12,Unfurnished,East,4202.0,55.0,6.0
"2 BHK Apartment for Sale in Orchid Fantasia, Palanpur Surat",Super Area,1250.0,Resale,Ready to Move,8 out of 12,Furnished,East,4681.0,58.5,8.0
 Industrial Shed for Sale in Udhana Surat,Super Area,120.0,Unknown,Ready to Move,Resale,Unknown,Unknown,6251.0,67.5,5.0
2 BHK Apartment for Sale in Althan Surat,Super Area,1275.0,New Property,Poss. by Jul '24,7 out of 12,Unfurnished,East,4051.0,51.7,7.0
"2 BHK Apartment for Sale in Mahaveer Heights, Vesu Surat",Super Area,1294.0,Resale,Poss. by Dec '24,4 out of 13,Unfurnished,East,5255.0,68.0,4.0
"2 BHK Apartment for Sale in Vacanza Homes, Althan Surat",Super Area,1250.0,New Property,Ready to Move,7 out of 12,Semi-Furnished,East,4400.0,55.0,7.0
"3 BHK Apartment for Sale in NEST ORCHID, Vesu Surat",Carpet Area,1000.0,Resale,Ready to Move,4 out of 12,Unfurnished,West,4727.0,78.0,4.0
3 BHK Apartment for Sale in Simandhar apartment Surat,Carpet Area,1550.0,Resale,Ready to Move,6 out of 9,Semi-Furnished,3,4691.5,75.0,6.0
"3 BHK Apartment for Sale in Sattvam, Pal Surat",Super Area,2050.0,New Property,Poss. by Jul '24,7 out of 13,Unfurnished,East,4600.0,94.3,7.0
"3 BHK Apartment for Sale in Sattvam, Pal Surat",Super Area,2061.0,Unfurnished,Poss. by Mar '25,New Property,Sattvam,3,4600.0,94.8,5.0
"3 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat",Super Area,1586.0,Orchid Gardenia,New Property,Unfurnished,3,3,3751.0,59.5,5.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1296.0,New Property,Poss. by Dec '25,6 out of 14,Unfurnished,East,4291.0,55.6,6.0
"3 BHK Apartment for Sale in Sangini Aura, Bhatha Surat",Carpet Area,1134.0,New Property,Poss. by Feb '26,5 out of 13,Unfurnished,East,4750.0,98.0,5.0
3 BHK  House for Sale in Bamroli Surat,Carpet Area,1512.0,New Property,Poss. by Dec '25,1 out of 2,Unfurnished,East,3915.0,59.2,1.0
"2 BHK Apartment for Sale in Soham Elegance, Pal Surat",Super Area,1307.0,New Property,Ready to Move,7 out of 14,Unfurnished,South -West,4250.0,55.6,7.0
4 BHK  House for Sale in Dindoli Surat,Carpet Area,1368.0,Unfurnished,Poss. by Oct '24,New Property,East,"Pool, Garden/Park, Main Road",4691.5,52.0,5.0
"3 BHK Apartment for Sale in Pratishtha Heights, Palanpur Surat",Super Area,1918.0,New Property,Poss. by Apr '25,6 out of 13,Unfurnished,South -West,3751.0,71.9,6.0
2 BHK Apartment for Sale in Vesu Surat,Super Area,1365.0,New Property,Ready to Move,8 out of 14,Unfurnished,South -West,5128.0,70.0,8.0
3 BHK Apartment for Sale in Pal Surat,Carpet Area,1100.0,New Property,Poss. by Dec '24,4 out of 14,Unfurnished,East,4000.0,72.1,4.0
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,996.0,New Property,Poss. by Jun '25,6 out of 13,Unfurnished,East,4252.0,77.0,6.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1351.0,Unfurnished,5 out of 13,New Property,East,Garden/Park,4351.0,58.8,5.0
"3 BHK Apartment for Sale in Veer Swastik Hills, Pal Surat",Super Area,1825.0,New Property,Poss. by Feb '25,5 out of 13,Unfurnished,East,4646.0,84.8,5.0
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,950.0,Resale,Ready to Move,9 out of 13,Unfurnished,South -West,3517.0,51.0,9.0
5 BHK  House for Sale in Dindoli Surat,Carpet Area,2600.0,New Property,Poss. by Feb '26,2 out of 2,Unfurnished,North - East,4691.5,75.0,2.0
3 BHK Apartment for Sale in Althan Surat,Super Area,1715.0,New Property,Ready to Move,2 out of 13,Unfurnished,East,4665.0,80.0,2.0
3 BHK Apartment for Sale in Pal Surat,Carpet Area,970.0,Unfurnished,Ready to Move,New Property,East,Main Road,5454.0,95.2,5.0
2 BHK Apartment for Sale in Bhimrad Surat,Super Area,1295.0,New Property,Ready to Move,5 out of 14,Unfurnished,South -West,4300.0,55.7,5.0
"2 BHK Apartment for Sale in Avadh Onica, Dumas Road Surat",Super Area,1400.0,New Property,Poss. by Apr '25,5 out of 12,Unfurnished,East,4500.0,63.0,5.0
2 BHK Apartment for Sale in Pal Surat,Carpet Area,770.0,Resale,Ready to Move,11 out of 13,Unfurnished,East,3858.0,51.0,11.0
"2 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,1311.0,New Property,Poss. by Oct '25,5 out of 12,Unfurnished,South -West,4250.0,55.7,5.0
2 BHK Apartment for Sale in Vesu Surat,Carpet Area,720.0,New Property,Poss. by Jul '24,2 out of 13,Unfurnished,North,4851.0,63.5,2.0
3 BHK Apartment for Sale in Varacha Surat,Super Area,1520.0,Resale,Ready to Move,3 out of 14,Unfurnished,East,4145.0,63.0,3.0
3 BHK Apartment for Sale in Godadara Surat,Super Area,1950.0,Resale,Ready to Move,6 out of 14,Unfurnished,East,3641.0,71.0,6.0
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1800.0,New Property,Ready to Move,4 out of 13,Unfurnished,East,4389.0,79.0,4.0
3 BHK Apartment for Sale in Adajan Surat,Super Area,1857.0,Resale,Ready to Move,4 out of 15,Unfurnished,East,3904.0,72.5,4.0
3 BHK Apartment for Sale in Adajan Surat,Carpet Area,1500.0,Resale,Ready to Move,12 out of 13,Furnished,East,4049.0,95.0,12.0
"2 BHK Apartment for Sale in Vitoria Heights, Jahangirabad Surat",Carpet Area,750.0,New Property,Ready to Move,4 out of 14,Furnished,South -West,3941.0,53.0,4.0
3 BHK Apartment for Sale in Pal Surat,Super Area,2070.0,New Property,Poss. by Mar '25,6 out of 13,Unfurnished,East,4750.0,98.3,6.0
"3 BHK Apartment for Sale in Siddhi Ellipse, Althan Surat",Super Area,2100.0,Resale,Ready to Move,10 out of 12,Furnished,East,4714.0,99.0,10.0
3 BHK Apartment for Sale in Bhimrad Surat,Carpet Area,1020.0,New Property,Poss. by Jan '26,9 out of 14,Unfurnished,East,3749.0,69.4,9.0
 Industrial Land for Sale in Sachin Surat,Built Area,2205.0,Unknown,Resale,Unknown,Unknown,Unknown,2494.0,55.0,5.0
3 BHK Apartment for Sale in Dandi Road Surat,Super Area,1750.0,New Property,Poss. by Sep '24,4 out of 13,Unfurnished,East,3751.0,65.6,4.0
3 BHK Apartment for Sale in Adajan Surat,Carpet Area,1100.0,Resale,Ready to Move,6 out of 9,Semi-Furnished,East,4587.0,75.0,6.0
  Plot/Land for Sale in Jahangirabad Surat,Plot Area,837.0,"Pool, Garden/Park, Main Road",Freehold,Resale,Yes,Unknown,7288.0,61.0,5.0
3 BHK Apartment for Sale in LP Savani Surat,Carpet Area,1200.0,Resale,Ready to Move,1 out of 5,Furnished,East,4691.5,86.5,1.0
3 BHK Apartment for Sale in Pal Surat,Super Area,1668.0,Resale,Ready to Move,5 out of 13,Furnished,East,4496.0,75.0,5.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1203.0,New Property,Ready to Move,6 out of 13,Unfurnished,South -West,4364.0,52.5,6.0
2 BHK Apartment for Sale in Swapna Shrusti Surat,Carpet Area,750.0,New Property,Ready to Move,6 out of 13,Unfurnished,North - East,4804.0,62.5,6.0
"2 BHK Apartment for Sale in Sun Sarvam, Vesu Surat",Super Area,1385.0,New Property,Poss. by Nov '24,1 out of 7,Unfurnished,North,4751.0,65.8,1.0
"3 BHK Apartment for Sale in Shiv Samarth II, Pal Surat",Super Area,1802.0,New Property,Poss. by Oct '24,6 out of 12,Unfurnished,East,3552.0,64.0,6.0
2 BHK Apartment for Sale in Althan Surat,Super Area,1275.0,New Property,Poss. by Oct '25,4 out of 12,Unfurnished,East,3991.0,50.9,4.0
"3 BHK Apartment for Sale in Times Luxuria, Vesu Surat",Carpet Area,1179.0,Resale,Ready to Move,1 out of 12,Unfurnished,East,4666.0,50.9,1.0
"2 BHK Apartment for Sale in Rajhans Synfonia, Vesu Surat",Super Area,1360.0,Resale,Ready to Move,6 out of 12,Furnished,East,5000.0,68.0,6.0
"3 BHK Apartment for Sale in Veer Swastik Heights, Pal Surat",Carpet Area,933.0,New Property,Ready to Move,5 out of 13,Unfurnished,East,4661.0,79.0,5.0
"3 BHK Apartment for Sale in Aakash Earrth, Bhimrad Surat",Carpet Area,1750.0,Resale,Ready to Move,10 out of 12,Furnished,East,4691.5,50.9,10.0
"2 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,1311.0,Unfurnished,Poss. by Dec '24,New Property,Pramukh Amaya,Unknown,4251.0,55.7,5.0
2 BHK Apartment for Sale in veer arihanta Surat,Carpet Area,759.0,Resale,Poss. by Sep '26,8 out of 13,Unfurnished,East,5430.0,74.9,8.0
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1847.0,New Property,Poss. by Dec '25,8 out of 14,Unfurnished,East,4293.0,79.3,8.0
"2 BHK Apartment for Sale in Avadh Onica, Dumas Road Surat",Super Area,1400.0,New Property,Poss. by Jun '25,5 out of 13,Unfurnished,East,4500.0,63.0,5.0
2 BHK Apartment for Sale in Dumas Road Surat,Super Area,1400.0,New Property,Poss. by Mar '25,6 out of 12,Unfurnished,South -West,4500.0,63.0,6.0
  Plot/Land for Sale in Palanpur Surat,Plot Area,1080.0,Congo,Freehold,Resale,Unknown,15 m,9074.0,98.0,5.0
3 BHK Villa for Sale in Dindoli Surat,Carpet Area,1638.0,Unfurnished,Poss. by Apr '25,New Property,East,Main Road,4691.5,53.5,5.0
"2 BHK Apartment for Sale in Shilalekh Imperia, Pal Surat",Super Area,1283.0,New Property,Poss. by Apr '25,6 out of 13,Unfurnished,South -West,4551.0,58.4,6.0
3 BHK Apartment for Sale in Vesu Surat,Super Area,1775.0,New Property,Ready to Move,10 out of 14,Unfurnished,South -West,5127.0,91.0,10.0
3 BHK Apartment for Sale in Pal Surat,Carpet Area,950.0,New Property,Poss. by Dec '24,4 out of 14,Unfurnished,East,3999.0,66.0,4.0
3 BHK Apartment for Sale in Jahangir Pura Surat,Carpet Area,942.0,New Property,Poss. by May '25,Lower Basement out of 14,Unfurnished,East,3451.0,59.2,14.0
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1751.0,Unfurnished,8 out of 13,New Property,East,"Garden/Park, Main Road",4351.0,76.2,5.0
"2 BHK Apartment for Sale in RAMESWARAM Ivaan, Palanpur Surat",Super Area,1315.0,New Property,Poss. by Nov '24,6 out of 13,Unfurnished,East,3991.0,52.5,6.0
"3 BHK Apartment for Sale in Nakshatra Galaxia, Palanpur Surat",Carpet Area,1100.0,Resale,Ready to Move,12 out of 15,Unfurnished,South -West,3766.0,65.0,12.0
4 BHK Villa for Sale in Dindoli Surat,Carpet Area,2500.0,Unfurnished,Poss. by Jul '24,New Property,North - East,Main Road,4691.5,85.5,5.0
3 BHK Apartment for Sale in Vesu Surat,Super Area,1715.0,New Property,Poss. by Oct '24,10 out of 13,Unfurnished,East,4781.0,82.0,10.0
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,885.0,Unfurnished,Ready to Move,New Property,East,Garden/Park,4300.0,65.4,5.0
3 BHK Apartment for Sale in Pal Surat,Super Area,1745.0,New Property,Poss. by Dec '24,5 out of 14,Unfurnished,South -West,4351.0,75.9,5.0
"3 BHK Apartment for Sale in Avadh Carolina, Dumas Road Surat",Super Area,1840.0,Resale,Ready to Move,9 out of 12,Unfurnished,East,4511.0,83.0,9.0
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,922.0,New Property,Ready to Move,7 out of 13,Unfurnished,South -West,3301.0,55.3,7.0
"3 BHK Apartment for Sale in Raghuvir Spalex, Vesu Surat",Super Area,1902.0,New Property,Ready to Move,5 out of 10,Unfurnished,South -West,5100.0,97.0,5.0
  Shop for Sale in VIP Road Surat,Super Area,413.0,Resale,Ready to Move,Ground out of 5,1 Open,Unknown,15496.0,64.0,5.0
"2 BHK Apartment for Sale in Echo Point, Althan Surat",Super Area,1180.0,Resale,Ready to Move,5 out of 13,Furnished,Garden/Park,5508.0,65.0,5.0
"3 BHK Apartment for Sale in Nakshatra Galaxia, Palanpur Surat",Super Area,1857.0,Resale,Ready to Move,5 out of 14,Unfurnished,East,4066.0,75.5,5.0
3 BHK Apartment for Sale in Godadara Surat,Super Area,1500.0,Resale,Ready to Move,8 out of 14,Unfurnished,East,3667.0,55.0,8.0
3 BHK Apartment for Sale in Pal Surat,Super Area,1950.0,New Property,Ready to Move,5 out of 12,Unfurnished,East,4308.0,84.0,5.0
"2 BHK Apartment for Sale in Santvan Newon, Palanpur Surat",Super Area,1251.0,Resale,Ready to Move,5 out of 13,Semi-Furnished,South -West,4556.0,57.0,5.0
2 BHK Apartment for Sale in Adajan Surat,Carpet Area,720.0,Resale,Ready to Move,9 out of 12,Furnished,East,4308.0,56.0,9.0
"3 BHK Apartment for Sale in Nakshatra Galaxia, Palanpur Surat",Super Area,1857.0,New Property,Poss. by Dec '24,10 out of 13,Unfurnished,East,3800.0,70.6,10.0
3 BHK Apartment for Sale in Pal Surat,Super Area,1850.0,New Property,Poss. by Mar '25,7 out of 13,Unfurnished,East,4651.0,86.0,7.0
3 BHK Apartment for Sale in Mantra Hights Surat,Super Area,1850.0,Resale,Ready to Move,3 out of 12,Furnished,East,5027.0,93.0,3.0
3 BHK Apartment for Sale in Dumas Road Surat,Super Area,2164.0,New Property,Poss. by Dec '25,7 out of 12,Unfurnished,East,4321.0,93.5,7.0
1 BHK Villa for Sale in Palanpur Surat,Super Area,106.0,Unfurnished,Ready to Move,Resale,East,"Garden/Park, Main Road",8910.0,85.0,5.0
  Plot/Land for Sale in Dandi Road Surat,Plot Area,900.0,5,Freehold,Resale,Unknown,20 m,7444.0,67.0,5.0
"3 BHK Apartment for Sale in Divine Desire, Palanpur Surat",Super Area,1522.0,New Property,Ready to Move,5 out of 13,Unfurnished,East,4001.0,60.9,5.0
"2 BHK Apartment for Sale in Shreepad Panorama, Palanpur Gam Surat",Super Area,1299.0,Resale,Ready to Move,9 out of 11,Semi-Furnished,East,4311.0,56.0,9.0
2 BHK Apartment for Sale in Pal Gam Surat,Carpet Area,830.0,Resale,Ready to Move,11 out of 12,Semi-Furnished,East,4691.5,55.0,11.0
3 BHK Apartment for Sale in Anand Mahal Road Surat,Super Area,1850.0,Resale,Ready to Move,1 out of 7,Furnished,East,3784.0,70.0,1.0
3 BHK Apartment for Sale in Palanpur Surat,Super Area,2255.0,New Property,Ready to Move,6 out of 13,Unfurnished,South -West,3459.0,78.0,6.0
3 BHK Apartment for Sale in Vesu Surat,Carpet Area,867.0,New Property,Ready to Move,7 out of 13,Unfurnished,North - East,4822.0,76.0,7.0
"3 BHK Apartment for Sale in Sun Sarvam, Vesu Surat",Super Area,2060.0,New Property,Poss. by Nov '24,5 out of 7,Unfurnished,East,4440.0,91.5,5.0
"2 BHK Apartment for Sale in Nandini 3, Vesu Surat",Super Area,1283.0,Resale,Ready to Move,4 out of 8,Furnished,South -West,5066.0,65.0,4.0
"3 BHK Apartment for Sale in Anand Avenue, Jahangirabad Surat",Super Area,1620.0,New Property,Ready to Move,11 out of 14,Unfurnished,East,3580.0,58.0,11.0
2 BHK Apartment for Sale in Althan Surat,Super Area,1275.0,New Property,Poss. by Oct '25,5 out of 12,Unfurnished,East,3991.0,50.9,5.0
"3 BHK Apartment for Sale in Times Luxuria, Vesu Surat",Carpet Area,1179.0,Resale,Ready to Move,11 out of 12,Unfurnished,East,4620.0,99.0,11.0
"3 BHK Apartment for Sale in Nakshatra Nebula, Jahangirabad Surat",Super Area,1609.0,Resale,Ready to Move,1 out of 13,Semi-Furnished,East,3543.0,57.0,1.0
"4 BHK Apartment for Sale in Blue Bells, Jahangir Pura Surat",Carpet Area,1495.0,Resale,Ready to Move,7 out of 13,Unfurnished,East,3696.0,85.0,7.0
"3 BHK Apartment for Sale in Swagat Callista, Bamroli Surat",Super Area,1811.0,New Property,Ready to Move,6 out of 14,Unfurnished,South - East,3589.0,65.0,6.0
"3 BHK Apartment for Sale in White Wings Flamingo, Bhimrad Surat",Carpet Area,1250.0,Resale,Ready to Move,11 out of 12,Unfurnished,East,4869.0,95.0,11.0
"3 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,1811.0,Unfurnished,Poss. by Dec '24,New Property,Pramukh Amaya,3,4251.0,77.0,5.0
"3 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,2111.0,Unfurnished,Poss. by Dec '24,New Property,Pramukh Amaya,3,4251.0,89.7,5.0
3 BHK Apartment for Sale in Pal Surat,Carpet Area,1035.0,New Property,Poss. by Jun '25,9 out of 14,Unfurnished,East,4600.0,86.5,9.0
3 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1800.0,New Property,Poss. by Mar '26,6 out of 14,Unfurnished,East,3300.0,59.4,6.0
2 BHK Apartment for Sale in Dumas Road Surat,Super Area,1345.0,New Property,Poss. by Mar '25,6 out of 12,Unfurnished,South -West,4500.0,60.5,6.0
  Plot/Land for Sale in Jahangirabad Surat,Plot Area,900.0,Congo,Freehold,Resale,Unknown,12 m,10556.0,95.0,5.0
3 BHK Villa for Sale in Dindoli Surat,Carpet Area,1520.0,Unfurnished,Poss. by Aug '24,New Property,East,"Garden/Park, Main Road",4691.5,58.0,5.0
"3 BHK Apartment for Sale in Veer Swastik Sky, Pal Surat",Super Area,1881.0,New Property,Poss. by Apr '25,7 out of 13,Unfurnished,South -West,4575.0,86.1,7.0
"3 BHK Apartment for Sale in Shree Mega Royal, Adajan Surat",Super Area,1755.0,Resale,Ready to Move,3 out of 12,Unfurnished,East,5698.0,100.0,3.0
3 BHK Apartment for Sale in Pal Surat,Carpet Area,950.0,New Property,Poss. by Dec '24,4 out of 14,Unfurnished,East,3999.0,61.7,4.0
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,1021.0,New Property,Poss. by Jul '25,3 out of 3,Unfurnished,East,3800.0,70.6,3.0
3 BHK Apartment for Sale in Pal Surat,Super Area,1900.0,Unfurnished,7 out of 13,New Property,East,"Garden/Park, Main Road",4550.0,86.5,5.0
"3 BHK Apartment for Sale in Madhav Opulence, Pal Surat",Super Area,1891.0,New Property,Poss. by Sep '24,5 out of 13,Unfurnished,North - East,4750.0,89.8,5.0
"2 BHK Apartment for Sale in Nakshatra Galaxia, Palanpur Surat",Carpet Area,951.0,Resale,Ready to Move,15 out of 15,Unfurnished,South -West,3846.0,51.0,15.0
3 BHK  House for Sale in Dindoli Surat,Carpet Area,1600.0,New Property,Ready to Move,Ground out of 2,Unfurnished,North - East,4691.5,58.0,2.0
3 BHK Apartment for Sale in Peak Living Surat,Super Area,1994.0,Resale,Ready to Move,5 out of 14,Unfurnished,South -West,4444.0,88.6,5.0
3 BHK Apartment for Sale in Bamroli Surat,Carpet Area,930.0,Unfurnished,Ready to Move,New Property,East,Main Road,4100.0,67.8,5.0
3 BHK Apartment for Sale in Althan Surat,Super Area,1757.0,New Property,Poss. by Aug '24,6 out of 13,Unfurnished,East,3682.0,64.7,6.0
"3 BHK Apartment for Sale in Swapnabhoomi, Vesu Surat",Super Area,1962.0,New Property,Ready to Move,10 out of 13,Unfurnished,East,5097.0,50.9,10.0
"3 BHK Apartment for Sale in Raghuvir Spectrum, Vesu Surat",Super Area,1775.0,New Property,Ready to Move,5 out of 14,Unfurnished,South -West,5100.0,90.5,5.0
"  Shop for Sale in Aagam Vivianna, Vesu Surat",Carpet Area,200.0,Resale,Ready to Move,Ground out of 4,1 Open,Unknown,14500.0,58.0,4.0
"3 BHK Apartment for Sale in Eco Parkside, Bhimrad Surat",Carpet Area,943.0,Resale,Poss. by Jul '24,6 out of 13,Unfurnished,East,4898.0,84.0,6.0
"3 BHK Apartment for Sale in Divine Desire, Palanpur Surat",Carpet Area,961.0,Resale,Ready to Move,5 out of 14,Unfurnished,East,4100.0,67.9,5.0
3 BHK Apartment for Sale in Godadara Surat,Super Area,1850.0,Resale,Ready to Move,10 out of 12,Unfurnished,East,5135.0,95.0,10.0
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,960.0,New Property,Ready to Move,6 out of 13,Unfurnished,East,4500.0,72.0,6.0
3 BHK Apartment for Sale in Adajan Surat,Super Area,1650.0,New Property,Ready to Move,13 out of 14,Unfurnished,North,3818.0,63.0,13.0
3 BHK Apartment for Sale in Pal Surat,Super Area,1811.0,New Property,Poss. by Mar '25,6 out of 13,Unfurnished,East,4751.0,86.0,6.0
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",Super Area,1252.0,Resale,Ready to Move,5 out of 14,Unfurnished,East,4073.0,51.0,5.0
"2 BHK Apartment for Sale in Vaishnodevi Amour Jahagirabad, Jahangirabad Surat",Super Area,1258.0,New Property,Ready to Move,8 out of 13,Furnished,East,4102.0,51.6,8.0
